A - HGNC,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi)
LRRC26,,,,
LRRC15,,,,
LRRC14,,,,
LRP2,,,,3.629751811
LRP1,,-1.81193024,,-2.292685814
LRIF1,,,,
LPL,,-2.614530164,,
LMTK3,,,,
LMNB1,,,,2.493584991
LMF1,,,,-2.100373808
LIPG,,,,-3.091690717
LINS1,,,,
LINC02908,,,,
LINC02865,,,4.822171589,4.786824737
LINC02842,,,4.330464244,7.463384011
LINC02798,,,3.977720821,3.029034641
LINC02728,,,,2.767871602
LINC02384,,,,2.475965777
LINC02100,,,,2.480689355
LINC02068,,,2.481207789,3.599596292
LINC02035,,,,
LINC02033,,,,2.545428248
LINC02006,,,,3.759360992
LINC01827,,,,-2.820255123
LINC01800,,,,-2.015302126
LINC01539,,,,3.777426866
LINC01506,,,,2.076905241
LINC01375,,,,-2.905479066
LINC01358,,,2.482284548,3.482188737
LINC01181,,,,3.541978379
LINC00996,,,3.670692342,6.322130846
LINC00696,,,,
LINC00309,,,5.940680549,6.839057058
LINC00243,,,3.17691843,4.941484925
LINC00158,,,4.570013551,6.927777877
LIMS2,,,,
LIMD2,,,,-2.557555831
LILRB1,,,2.06017972,
LILRA5,,,2.40874989,2.832940244
LIG4,,,,
LIAS,,,,
LHFPL6,,,,2.114329407
LHFPL3-AS2,,,3.296992575,5.679574485
LGR4,,,,-2.165024694
LGMN,,1.031465532,,2.218071797
LGALS4,,,,
LGALS3BP,,,3.344862262,4.425179154
LGALS17A,,,4.993028701,6.663015734
LGALS13,,,,
LDLRAD2,,,,-4.052613916
LDHD,,,,-2.720815726
LDHAP4,,,,-2.433431005
LDHAL6A,,,,
LDAF1,,,,
LCP2,,,,
LCE3E,,,,
LCE2C,,,,
LCE2A,,,,
LAT,,,,-2.294498033
LARGE2,,,,
LAP3,,,,2.651971435
LAMTOR4,,,,
LAMP3,,,,2.473417231
LAMC2,,,,
LAMA3,,,,3.12295851
LALBA,,,,
LAG3,,,4.579981781,4.574016149
LAD1,,,,
L3MBTL4,,,,
L3MBTL2-AS1,,,,2.198559758
KRTAP4-4,,,,
KRTAP20-3,,,,
KRTAP20-1,,,,
KRTAP12-2,,,,
KRT81,,,,
KRT79,,,,-3.322798479
KRT4,,,-2.439902399,-4.204983783
KRT13,,,,
KMO,,,,
KLRG1,,,,
KLHL35,,,,
KLHL34,,,,
KLHL23,,,,
KLHL12,,,,
KLHDC7A,,,,
KLHDC3,,,,
KLF4,,,,2.954495444
KLC4,,,,
KIR2DL4,,,3.399939034,7.763630421
KIF9,,,,
KIF15,,,,
KIAA1671,,,2.904323409,4.771374368
KIAA1210,,,,-3.039577247
KIAA0040,,,2.577510854,
KHNYN,,,,
KDM5B,,,,
KDM4A,,,,
KCTD20,,,,
KCTD15,,,-2.16789183,-2.906986948
KCTD14,,,,5.632294012
KCNS3,,,,3.824476252
KCNRG,,,,2.309468943
KCNJ2,,,,2.263385623
KCNJ1,,,,-2.832227812
KCNH7,,,,2.301723019
KCNA2,,,,-3.264392219
KBTBD8,,,,
KBTBD6,,,3.384030489,
KALRN,,,2.642057206,
JAZF1,,,,2.057618117
JAK2,,,,2.209451182
JADE3,,,,2.58578016
JADE2,,,2.17383768,
IWS1,,,,
ITPRIP,,,-2.734868414,
ITM2C,,,,
ITIH4,,,3.101136315,2.511485837
ITIH3,,,2.737472078,4.217350912
ITGB8,,,,3.107680551
ITGB3,,,,-2.053792304
ITGB1BP1,,,,
ITGAD,,,,
ITGA9,,,,-2.519280441
ITGA3,,,,-3.144835644
ITGA2,,,,2.591184068
ITGA11,,,,
ITCH,,,,
ISYNA1,,,,-2.992641963
ISG20,,,4.828142773,4.617202099
ISG15,,5.740499175,,4.448356151
IRF7,,,,2.652301412
IRF2BP2,,,,
IRF1-AS1,,,2.56533929,2.739314508
IRF1,,,2.64043706,3.372379799
IREB2,,-1.855734379,,
IRAK2,,,,2.733591477
IQGAP3,,,,-3.147165315
IPO11,,,,
IPMK,,,,
INTS13,,,,
INTS10,,,,
ING3,,,,
ING2,,,,
INCENP,,,,
INAFM1,,,,
IMPA2,,,,-2.026352587
ILDR1,,,,
IL7R,,,,2.677234398
IL7,,,2.208163729,2.707972066
IL6,,,2.513662623,3.52767254
IL4I1,,,,2.146584316
IL31RA,,,,3.279910214
IL2RA,,,,3.781462918
IL27,,,,3.901709568
IL22RA2,,,,-3.106417537
IL1B,,,,2.391995445
IL1A,,,,2.267739595
IL18RAP,,,2.810192458,5.347965042
IL17RC,,,,
IL17F,,,,
IL17B,,,,
IL16,,,,
IL15RA,,,4.22861413,4.973680342
IL15,,,2.460964299,3.981251078
IL12RB1,,,,2.053759187
IL12B,,,,2.487604783
IL12A,,,5.974433406,8.678697069
IL11,,,,
IGSF3,,,,
IGSF22,,,,
IGFBP7,,,,
IGFBP4,,,,3.053413674
IGF2BP3,,,2.992631445,3.258229165
IFTAP,,,,
IFT70B,,,,
IFT70A,,,,
IFT56,,,,3.301610391
IFNW1,,,,7.068126321
IFNL3,,,,7.010407868
IFNL2,,,,6.433659154
IFNL1,,,7.305892326,9.670034845
IFNA14,,,,
IFITM3,,,2.710363106,5.65329098
IFITM1,,,5.793175389,9.348815053
IFIT5,,1.116969129,3.030091566,6.271589936
IFIT3,3.494644087,5.69825699,8.197744299,8.15284245
IFIT2,3.884688719,6.643829723,4.824259361,5.362946175
IFIT1,3.970117068,6.283329563,8.548467957,10.7981352
IFIH1,2.003777245,4.555946029,3.433378392,4.790778075
IFI6,,,3.89454673,3.108238805
IFI44L,,2.64704648,6.093850191,9.038601577
IFI44,,3.468329055,4.031842484,4.922575112
IFI35,,,2.413008255,2.527308768
IFI27,,,3.824845608,5.682027064
IFI16,,,,2.525168757
IDO2,,,,4.175579456
IDO1,,,,5.682855091
ICAM5,,,,-2.642984402
ICAM4,,,,
IAH1,,,,
HYDIN2,,,,3.141619604
HYCC2,,,,
HTR7,,,,
HSPH1,,,,
HSPG2,,,,-4.226721423
HSPB6,,,,
HSPA1B,,,,3.437332551
HSP90AB3P,,,-3.051540073,
HSP90AA1,,,,
HSH2D,,,3.083146996,4.223756319
HSF5,,,2.620581376,
HSF2,,,,
HSF1,,,,
HSDL2,,,,
HSD11B1-AS1,,,,2.613758418
HS3ST3B1,,,,4.103018801
HS3ST2,,,2.299717859,
HRG,,,,
HRAS,,,,-2.362354538
HPSE,,,3.312685786,4.368560427
HPS6,,,,-6.561170744
HPGDS,,,,-2.754756666
HPGD,,,,-2.609936157
HPCA,,,,
HP,,,,
HOXD13,,,,
HOPX,,,,-2.095502949
HOATZ,,,,
HNRNPR,,,,
HNRNPH1,,,,
HNRNPA1P10,,,-2.307563953,
HMCN1,,,,-2.954851487
HLA-DRB3,,1.243831368,,
HLA-DRB1,,0.960305283,,
HLA-DOB,,,,3.65889624
HLA-DOA,,,,
HLA-B,,2.02347863,,
HLA-B,,1.008569822,,
HIVEP2,,,,3.73300997
HIP1R,,,,2.197179228
HILPDA,,,,-2.491524285
HIC2,,,,
HIC1,,,,-2.555213323
HHEX,,,,-2.218402917
HGH1,,,,-2.361624447
HEXA-AS1,,,,-5.580698
HESX1,,,5.871560243,6.516752245
HES3,,,,
HES2,,,,
HERC6,,,2.99892681,3.738752431
HERC5,,,6.083065282,7.300224041
HELZ2,,,3.018836916,3.122730528
HELB,,,,2.415118029
HECTD2,,,,
HEATR9,,,3.870094995,5.997199455
HEATR5B,,,,
HEATR4,,,,
HDX,,,2.516995683,2.877979634
HDAC11,,,,
HCAR2,,,,3.368099856
HBEGF,,,,2.476480097
HAUS1,,,,
HARS2,,1.502810985,,
HARBI1,,,,
HAPLN3,,,3.972207023,5.475283122
HAND1,,,,
H4C5,,,-6.681921538,
H4C14,,,,2.993857173
H3P47,,,-2.38801147,
H3C3,,,,
H3-3B,,,2.290202972,
H2BP2,,,,2.147844069
H2BC3,,,,
H2BC1,,,,
GZMK,,,,
GYPC,,,,-2.012235757
GXYLT2,,,3.257650769,4.015418635
GXYLT1P4,,,,-2.439313839
GUCY2EP,,,,
GUCY1B1,,,,3.73052574
GUCY1A1,,,3.199462853,6.530237331
GUCA1A,,,,-2.626672001
GTSF1L,,,,
GTF2A2,,,,
GSTZ1,,,,
GSDMA,,,,
GRM7,,,-2.154905548,-3.00634573
GRK6,,,,-2.22321404
GRIP1,,,,2.081035847
GRIN3A,,,,2.512043967
GRHL2,,,,
GRASLND,,,5.411242009,5.152594248
GRAMD4,,,,-2.078936518
GRAMD1B,,,2.333801749,2.424617053
GPRASP1,,,-2.175408719,
GPR68,,,2.219377227,
GPR39,,,,
GPR18,,,,
GPR158,,,,
GPNMB,,,,
GPD1,,,,-2.76050459
GPATCH2,,,,
GPAT2P1,,,,-3.60939902
GPAT2,,,,-3.494493655
GOT1,,,,
GON7,,,,-2.42218489
GOLM2,,,,
GOLGA7B,,,,-4.336760736
GNL3,,,,
GNG7,,,,-2.348985024
GNG4,,,,
GNB2,,,,
GNAI2,,,,
GMPR,,1.612729285,3.934501909,3.989128731
GMPPB,,,,-2.428220558
GMEB2,,,,
GMCL1,,,,
GLYATL1P1,,,,-2.029397989
GLT1D1,,,2.445799522,
GLRA1,,,,
GLI1,,,,
GJB3,,,,
GJA9,,,,
GJA4,,,,
GIMAP2,,,,2.202432676
GGT1,,,,
GGACT,,,,
GEMIN7,,,,
GCSAM,,,,2.147465428
GCKR,,,,
GCH1,,,3.719892006,4.700219096
GBP5,,3.175454832,4.997802454,5.952728832
GBP4,,,6.086862789,7.787938406
GBP3,,,,2.975439823
GBP2,,1.111666448,,2.094330395
GBP1P1,,,5.335365909,6.881713374
GBP1,,2.687539728,3.268561294,4.854079951
GATD3,,,,
GAS6-DT,,,,2.295155591
GARIN2,,,,
GAREM1,,,2.787735755,3.434011299
GANC,,,,
GALNT14,,,,
GALK1,,,,-2.352828874
GAGE8,,,,
GADD45GIP1,,,,
GADD45B,,,2.021839532,
GABRA4,,,,
GABPB1-AS1,,,,3.805415409
GABPB1,,,,
G0S2,,,,2.556034985
FZD7,,,-2.160267472,
FXYD6,,,,3.010157683
FXYD4,,,,
FUT3,,,,
FTLP3,,,,-6.095220119
FSTL1,,,,2.420860404
FRMD8,,,,
FRMD7,,,,4.004261587
FPR3,,,,3.095694688
FPR2,,,2.056032016,3.549878774
FOXN3,,,,
FOXK1,,,,
FOXD4L1,,,,
FOXD3,,,,
FOLR1,,,,-3.498985579
FNDC5,,,,
FMR1,,,,
FMN2,,,,
FLYWCH2,,,,-2.635267735
FLNA,,,,-2.588512849
FLG,,,,
FKBP14,,,,
FIRRE,,,,2.258006153
FILIP1L,,,,2.488570889
FHL1,,,,-2.888511319
FGL1,,,,
FGFR1,,,,-2.209799413
FGFBP1,,,,
FGF2,,,,2.985674961
FER1L6,,,3.081181908,2.859967695
FDPSP3,,,6.439771969,6.536289166
FCGR1CP,,,,2.158961378
FCGR1BP,,,,2.021781891
FCF1,,,,
FBXO5,,,,2.014814924
FBXO39,,,,6.770261229
FBXO3,,,,
FBP1,,,,-2.796405591
FBLN5,,,,
FAT1,,,,
FASTKD1,,,,
FASN,,,,-2.133042223
FAS,,,,2.364194725
FAP,,,4.024459637,8.539887815
FANCI,,,,
FANCE,,,,-2.080257566
FAM95B1,,,,-3.285735115
FAM90A1,,,,
FAM8A1,,,,3.164884504
FAM83E,,,,
FAM81A,,,,-2.118264565
FAM72D,,,,2.006720704
FAM72C,,,,2.186324543
FAM72B,,,,2.181183066
FAM72A,,,,2.235523648
FAM3C,,,,
FAM241A,,,,3.197687886
FAM234A,,,,
FAM177B,,,,
FAM131B,,,-2.200291298,
FAM124A,,,,2.61769005
FABP6,,,,
FABP4,,,,-2.584748542
FA2H,,,,-2.303185065
F13A1,,,,-3.486368073
EXT1,,,,3.361892552
EXPH5,,,,
EXOSC6,,,5.14421105,
EXOSC5,,,,-2.212539315
EXOC8,,,4.098158984,
EXD3,,,,-2.158610008
EVI5L,,,,-2.288515124
ETV7,,,3.59222514,4.057586457
ETNK2,,,,-2.228390464
ESPNL,,,-2.46610508,
ERN2,,,,
ERLEC1,,,,
EREG,,,,3.81869063
ERCC1,,,,-2.245204961
ERC1,,-1.952667675,,
EPSTI1,,,3.44910506,5.046409577
EPS8,,,,
EPHB6,,,,-2.798011871
EPHB2,,,2.173786132,
EPHA6,,,,
EPCAM,,,,
EPC2,,,,
EPC1,,,,
EPB41L5,,,2.305512395,2.261156885
EOMES,,,,
ENTREP1,,,,-2.37224387
ENDOG,,,,
ENDOD1,,,3.00375437,-4.427981477
ENC1,,,,-2.309747804
EMP2,,,,
EME2,,,-2.126233799,
EMC6,,,,
EMC10,,,,-2.510526363
ELOVL7,,,,2.770514685
ELOVL6,,,,
ELOVL3,,,6.586984817,3.738171491
ELOVL1,,,,
ELOB,,,,-2.302280928
ELL2,,,,
ELF1,,,,
ELAVL2,,,,
ELAPOR2,,,,
ELAPOR1,,,,
EIF4G3,,-1.897606054,,
EIF4EBP3,,,,
EIF4EBP1,,,,-2.017713701
EIF4BP7,,,,-2.719231552
EIF4BP6,,,,-3.078748595
EIF2AK2,,2.400045992,2.516944892,3.063601344
EID3,,,,
EGR1,,,-2.439044911,
EGFEM1P,,,,-2.041732917
EGF,,,4.107830196,4.266316992
EFS,,,,
EFL1,,2.687528925,,
EFHD2,,,,
EEPD1,,,,-2.613327075
EEIG2,,,,
EEF1A1P5,,,,-3.408600995
EDN1,,,,4.727145844
ECPAS,,,,
ECHDC3,-0.626369403,,,
ECHDC1,,,,
ECH1,,,,
ECEL1,,,,
EBI3,,,,6.133952669
EBF2,,,,
E2F7,,,,4.345872658
E2F1,,,,-3.501161018
DYSF,,,,
DYRK1A,,,,
DYNLT4,,,,
DYNLT2B,,,,-2.384672667
DYNLT1,,,,2.039392694
DUSP8,,,,2.786763421
DUSP28,,,,
DUSP1,,,,
DUS2,,,,
DTX4,,,,-2.397025795
DTX3L,,1.601030028,2.674195645,3.551022381
DSPP,,,,-4.365594255
DSCR4,,,,
DSCR10,,,,
DSC3,,,,
DRC7,,,,
DRC1,,,,
DPYS,,,,4.375739522
DOP1B,,,,
DOP1A,,,,
DOLK,,,,
DOK7,,,,
DOCK4,,,,
DNASE2B,,,,-3.547373587
DNASE1L3,,,,-2.981673458
DNALI1,,,,
DNAL1,,,,
DNAJC5,,,,-2.563848287
DNAJC28,,,,2.247196417
DNAJB4,,,,2.069957756
DNAJB11,,,,
DNAI7,,,,
DNAAF1,,,4.227123868,4.52510997
DMWD,,,,
DMRT2,,,,
DMP1,,,,-2.167238279
DMD,,,,2.225711909
DIP2B,,1.548780939,,
DHX58,,,2.282984713,2.884130644
DGLUCY,-1.227909786,,,
DGKZ,,-4.419137156,,
DGCR6L,,,,-2.553645906
DGAT1,,,,
DEUP1,,,,
DES,,,,
DEPTOR,,,,-2.839514675
DEPDC7,,,,2.42042851
DEPDC5,,,,
DENND1B,,,,
DEGS2,,,,-2.261250933
DEFB128,,,,
DEFB113,,,,
DEFB105A,,,,
DEFB1,,,4.107167339,6.970638779
DEFA5,,,,
DEDD2,,,,
DDX60,,,3.174589929,3.775247168
DDX52,,,,
DDR1,,,,
DDAH1,,,,2.243123558
DCP1A,,0.762547239,,
DCHS1,,,,-3.35791335
DCDC2,,,,-2.839878454
DCC,,,,
DCBLD2,,,,
DCANP1,,,,-5.565028965
DCAF6,,,,
DBP,,,,-2.09609429
DBNL,,,,
DBN1,,,,-3.080802777
DAPP1,,,,2.15983103
CYTL1,,,,-3.064703449
CYTH4,,-1.906844278,,
CYSLTR1,,,,2.226644069
CYP7B1,,,,4.47444832
CYP4V2,,,,
CYP39A1,,,,
CYP2U1,,,,2.342432723
CYP2J2,,,3.900342753,5.108593442
CYP2E1,,,,
CYP2A6,,,,
CYP27A1,,,,-2.695648149
CYP19A1,,,,2.773197073
CYFIP2,,,,
CYB5D2,,,,
CXorf65,,,,
CXCR4,,,-2.486688968,
CXCL3,,,,2.467332611
CXCL11,,,7.872891809,11.94954665
CXCL10,,,11.5141626,12.622518
CXCL1,,,4.892912779,2.575520553
CX3CR1,,,,
CWC27,,,,
CUL3,,,,
CUEDC1,,,,
CTSL,,,,
CTSH,,,,
CTNNA1,,-0.997015091,,
CTLA4,,,,2.24141435
CTIF,,,,
CTAGE4,,,,
CSTF2T,,,,
CSPG4,,,,-2.07757809
CSNK1A1,,,,
CSGALNACT1,,,,-2.595874857
CSDC2,,,,
CSAG3,,,4.445062748,7.610430744
CSAG2,,,4.776230161,7.48228482
CS,,,,
CRTC3,,,,
CRTAC1,,,,
CRLS1,,,,
CRABP2,,,,-2.535844259
CR2,,,,-2.494060888
CR1L,,,,2.109115369
CR1,,,,-2.401428976
CPSF1,,,,-2.050385506
CPNE2,1.548069833,,,
CPEB2,,,,
CP,,,,
COX8C,,,,
COX6B2,,,,
CORO1A,,,,
COPS2,1.146746077,,,
COLEC11,,,,
COL6A5,,,,
COL6A2,,,,-2.498572032
COL28A1,,,,
COL15A1,,,,
COG8,,,,
COG2,,,,
COCH,,,,
COBL,,,,2.776970516
COA3,,,,2.491948788
CNPY2,,,,
CNOT7,,,,
CNOT6,,,,
CNMD,,,,
CNKSR3,,,,
CNIH3-AS2,,,,-2.530825855
CMYA5,,,,
CMTR1,,,,2.135127856
CMTM5,,,,
CMTM4,,,-3.005429954,
CMTM2,,,,
CMPK2,2.040383286,5.130396927,5.051996257,8.334799005
CMPK1,,,,
CMKLR1,,,,2.353104574
CMC2,,,,
CLUHP3,,,,2.501572188
CLTRN,,,,
CLPTM1L,,,,
CLPP,,0.902006536,,
CLEC6A,,,,2.58571632
CLEC4E,,,2.004703488,3.710958778
CLEC4D,,,,2.905216662
CLEC3A,,,,
CLEC17A,,,,
CLEC12B,,,,
CLEC11A,,,,-2.230842311
CLDND1,,,,
CLDN5,,,,
CLDN17,,,,
CIMIP4,,,,
CIDEB,,,,-2.613574332
CIB4,,,,
CHTF8,,,,
CHROMR,,,,2.112465624
CHRNB2,,,,
CHRM1,,,,
CHMP5,,,,
CHMP1B,,,,5.778031353
CHKA,,,,
CHIT1,,-0.890968127,,-2.73773005
CHCHD7,,,,
CHAF1A,,,,
CGNL1,,,,4.0765783
CGAS,,,,2.516292195
CFH,,,,3.996317494
CFB,,,3.155602643,6.251795966
CFAP96,,,,
CFAP58-DT,,,,2.961350215
CFAP54,,,2.76040107,4.665772602
CFAP45,,,,
CFAP43,,,,4.354962578
CFAP418,,,,
CFAP410,,,,
CFAP36,,,,
CETN2,,,,
CERS6,,,,
CERS5,,,,
CEP68,,,,
CEP135,,,,
CEP126,,,,
CEP120,,,,
CEP112,,,,
CENPQ,,,,
CENPL,,,,
CENPF,,,,
CENPB,,,,
CEND1,,,,
CEMIP,,,,
CEACAM1,,,,2.517761347
CDR2L,,,,
CDKL1,,,,2.608121555
CDHR4,,,,
CDHR2,,,,
CDH24,,,,
CDH23,,,,-3.250712492
CDH13,,,,
CDCA7,,,,
CDC37,,,,
CDC20B,,,,
CD81,,,,
CD80,,,2.95983032,4.846014055
CD69,,,4.377155508,4.314133962
CD40,,,,2.489837026
CD3G,,,,
CD38,,,3.264786894,6.278654858
CD36,,-1.209982964,,
CD302,,,,-2.320837215
CD2AP,,,,
CD274,,,2.210636853,3.976167305
CD200R1,,,,
CD200,,,,2.539638845
CD1A,,,,
CD180,,,,
CD101,,,,-2.417773164
CCZ1,,,,
CCSER1,,,,
CCR7,,,,3.144420168
CCR4,,,,3.575848333
CCR2,,,,2.618963099
CCR1,,,,4.342913521
CCNA1,,,2.236580282,2.977491484
CCL8,,,9.317998522,11.84429203
CCL7,,,2.329612317,5.466117711
CCL5,,,,4.40415083
CCL4L2,,,,2.454512416
CCL4,,,,4.052485826
CCL3L3,,,3.359723547,4.862592577
CCL3,,,,3.727838289
CCL23,,,,2.078676643
CCL20,,,4.657882525,6.070524873
CCL2,,,3.258032279,6.402387058
CCL16,,,,
CCL13,,,,2.466677635
CCDC9B,,,,-2.352068366
CCDC83,,,,
CCDC65,,,,
CCDC34,,,,-2.491056918
CCDC25,,,,
CCDC142,,,,
CCDC113,,,,
CCDC102A,,,,
CAVIN4,,,2.644085509,
CAVIN2,,,,
CAV1,,,,2.864421793
CATSPER1,,,,-2.134241787
CASP7,,,,2.068561318
CASP1,,,2.006829679,3.320143245
CARM1,,,,
CARD8-AS1,,,2.440001353,
CARD16,,,,3.350519673
CARD14,,,,
CAPN2,,,,
CAPN11,,,,-2.709614451
CAMKMT,,,,
CAMK4,,,,
CAMK1G,,,,3.046001645
CALN1,,,,
CALHM6,,,2.992169771,3.42917475
CALHM4,,,,
CALCOCO2,,,,
CALCOCO1,-4.320640808,,,
CACNG2,,,,
CACNB1,,,-2.40549154,
CACNA1S,,,,
CACNA1G,,,,-2.080994729
CACNA1A,,,2.283277106,2.617682286
CABYR,,,,
CABLES1,,,,
C9orf78,,,,
C9orf152,,,,4.699652642
C7orf57,,,,-2.231609473
C7orf50,,,,
C6orf58,,,,
C6orf141,,,6.609377237,9.294847264
C5AR1,,,,-2.36555745
C5,,,,2.846838813
C4orf33,,,,
C4orf3,,,,3.002039033
C3orf52,,,2.432385913,3.747320726
C3orf38,,,,2.235415446
C2orf78,,,,
C2CD5,,,,
C2CD2L,,,,
C21orf91,,,2.750916765,3.100855359
C21orf58,,,,
C1S,,,,4.548051244
C1R,,,3.933583208,4.384578204
C1QTNF12,,,,
C1QL3,,,,
C1orf74,,,3.048120377,
C1orf216,,,,3.201422912
C1orf174,,,,
C1orf115,,,,-2.440088272
C18orf21,,,,
C17orf67,,,,2.285171796
C16orf82,,,,
C16orf74,,,,
C16orf54,,,,-2.702161874
C15orf48,,,,2.747030534
C14orf119,,,,
C12orf57,,,,
C11orf68,,,,
C11orf52,,,,
BUB1B,,,,
BTG1,,,,3.259494373
BRIP1,,,4.015143988,4.596687723
BRDT,,,,
BRCA2,,,,2.817446578
BRAP,0.950359927,,,
BPIFA3,,,,
BORCS7,,,,
BORCS6,-1.140864972,,,
BORA,,,,
BOP1,,,,-2.484914844
BOD1L1,,-1.871358958,,
BNIP2,,,,
BMP2,,,,3.92475098
BMP10,,,,
BMAL2-AS1,,,,2.527310067
BLZF1,,,,2.48161567
BLVRB,1.492405884,,,
BLCAP,,,,2.014974692
BIRC3,,,,2.775298077
BCL7B,,,,
BCL2L14,,,,5.769212363
BCL2L11,,,,2.219845553
BBS9,,,,
BBS12,,,,
BAZ2A,,,,
BATF3,,,,2.174180071
BANK1,,,,2.047342758
BANF1,,,,
BAMBI,,,2.401914434,
BAIAP2-DT,,,,-3.439477616
BAD,,,,
BACE1,,,,
BABAM2,,,,
BAALC-AS2,,,,2.6966314
BAALC-AS1,,,,3.719516574
BAALC,,,,2.890563291
B4GALT2,,,,-2.781025028
AZIN2,,,2.1047271,2.53622716
AZGP1,,,,
AXL,,,2.595528776,3.105497759
AVPI1,,,,
AUTS2,,,,
AURKAIP1,,,,-2.282828926
ATRX,,,,
ATRNL1,,,,
ATP9A,,,,-3.373656069
ATP6V1D,,,,
ATP6V0E2,,,,-2.300612276
ATP6V0D2,,,,-2.185036588
ATP2C1,,,,
ATP10A,,,2.00332427,2.050217097
ATOX1,,,,
ATOH1,,,,
ATG7,,-1.628836661,,
ATG16L2,,,,
ATF6,,,,
ASTN2,,,,-2.022123159
ASTN1,,,,
ASTL,,,,
ASS1,,,,
ASH1L-AS1,,,,2.928687025
ASB6,,,,
ASB16,,,,
ASAH2B,,,3.435661913,4.841829419
ASAH2,,,3.6152262,2.41919267
ARPC4,,,,
ARMCX1,,,,
ARL6IP4,,,,
ARL4D,,,,
ARL4C,,,3.734929534,
ARL16,,,,
ARL13A,,,,
ARIH2,,,,
ARHGEF38,,,,2.576734595
ARHGEF17,,,,-2.068308299
ARHGEF11,,,,
ARHGEF1,,,,
ARHGDIB,,,,-2.099431708
ARHGAP44,,,,
ARHGAP35,,,,
ARHGAP26,,,,
ARFGEF3,,,,-2.696687869
AREL1,,,,
ARC,,,,
APOL6,,,,3.236277341
APOL4,,,2.001256032,
APOL3,,,2.446070745,4.06881399
APOL1,,,2.392470099,3.729262931
APOE,,,,-2.567069606
APOC2,,,,-2.559420154
APOC1,,,,-2.222580806
APOBEC3H,,,2.3947173,3.243053936
APOBEC3G,,,2.811164471,2.923848397
APOBEC3F,,,2.370987214,2.227193397
APOBEC3D,,,,2.664317872
APOBEC3B,,,5.127093366,6.635819654
APOBEC3A,,,6.532211087,9.230324715
APMAP,,,,
API5P1,,,,2.709238975
APBA1,,,,-2.157627289
AP5Z1,,,,
AP5S1,,,2.425584752,
AP3D1,,,,
AP1M1,,,,
ANXA3,,,,
ANXA11,,,,
ANXA10,,,3.002211733,2.981065246
ANXA1,,,,
ANKRD50,,,,
ANKRD37,,,,
ANKRD33B,,,,2.534580849
ANKRD27,,,,
ANKRD22,,,3.231074516,5.722128875
ANKRD20A2P,,,,
ANKRD1,,,,4.011624881
ANGPT4,,,,-3.787907556
ANGEL2,,,,
ANAPC15,,,,
ANAPC13,,,,
AMPH,,,,
AMOTL2,,,4.948503833,5.297037431
AMOT,,,,2.857708838
AMIGO2,,,,
AMIGO1,,,,-2.169418483
AMER3,,,,
AMER1,,,2.918630518,
AMDHD2,,,,-2.126803403
ALPK2,,,,4.495268867
ALOX12,,,,
ALMS1P1,,,3.592953062,5.239902892
ALKBH5,,,,
ALKBH1,,,,
ALDOA,,,,
ALDH3A1,,,,
AKT1S1,,,,
AKR7A2,,,,-2.206728235
AKAP7,,,,2.240255264
AKAP5,,,-5.701438206,
AKAP14,,,,
AK1,,,,-2.269515137
AIRE,,,,
AIM2,,,5.117270866,6.763267703
AHNAK2,,,,-2.0949593
AHNAK,,,,-2.240781324
AGTR1,,,,
AGPAT5,,,,
AGO1,,,,-2.114362548
AGL,-1.062767157,,,
AGGF1,,,,
AGAP7P,,,,
AFMID,,,,
AFF3,,,,-2.713919593
AFAP1L1,,,,-3.117415357
AFAP1-AS1,,,,3.158601833
AFAP1,,,,3.128913455
ADRB2,,,,
ADRA2B,,,,-2.971230139
ADNP2,,,,
ADGRG6,,,,-2.399402395
ADGRE1,,,2.000805687,2.315003118
ADCY2,,,,
ADCY1,,,,-2.173661195
ADAMTSL4-AS1,,,,2.416073423
ADAMTSL3,,,,
ADAMTS5,,,,6.062355889
ADAMTS2,,,,
ADAMDEC1,,,,3.003627516
ADAM7,,,,
ADAM32,,,,
ADAM19,,,,2.403777693
ADAM11,,,,
ACY1,,,,-2.26738547
ACVR1C,,,,
ACTR5,,,,
ACSS1,,,,
ACOX2,,,,-2.123477541
ACOT1,1.608293391,,,
ACOD1,,,5.287531439,6.432191793
ACLY,,,,
ACACB,,,,
ABTB2,,,,2.789290698
ABT1,,,2.012044734,
ABLIM3,,,,-4.255645793
ABHD16A,,,,
ABHD12,,,,
ABCG2,,,,
ABCD3,,0.994369676,,
ABCC2,,,,
ABCB9,,,,-2.021557622
ABCA2,,,,-2.435632949
AAR2,,,,
AAGAB,,,,
A2M,,-2.371771761,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,-5.887024392,5.202878223
,,,-5.887024392,5.169160173
,,,-5.887024392,3.07455597
,,,-5.887024392,2.817277145
,,,-5.887024392,2.188067157
,,,-2.73425636,5.202878223
,,,-2.73425636,5.169160173
,,,-2.73425636,3.07455597
,,,-2.73425636,2.817277145
,,,-2.73425636,2.188067157
,,,4.086980456,5.202878223
,,,4.086980456,5.169160173
,,,4.086980456,3.07455597
,,,4.086980456,2.817277145
,,,4.086980456,2.188067157
,,,2.314897782,5.202878223
,,,2.314897782,5.169160173
